Date,LT COMPOSITE (>10 Yrs),TREASURY 20-Yr CMT,Extrapolation Factor
01/03/2000,6.87,6.94,N/A
01/04/2000,6.78,6.84,N/A
01/05/2000,6.89,6.95,N/A
01/06/2000,6.81,6.86,N/A
01/07/2000,6.77,6.82,N/A
01/10/2000,6.8,6.86,N/A
01/11/2000,6.89,6.94,N/A
01/12/2000,6.91,6.97,N/A
01/13/2000,6.83,6.88,N/A
01/14/2000,6.86,6.91,N/A
01/18/2000,6.9,6.94,N/A
01/19/2000,6.87,6.91,N/A
01/20/2000,6.9,6.93,N/A
01/21/2000,6.87,6.91,N/A
01/24/2000,6.82,6.86,N/A
01/25/2000,6.8,6.84,N/A
01/26/2000,6.74,6.79,N/A
01/27/2000,6.68,6.73,N/A
01/28/2000,6.6,6.65,N/A
01/31/2000,6.67,6.72,N/A
02/01/2000,6.62,6.66,N/A
02/02/2000,6.56,6.61,N/A
02/03/2000,6.46,6.52,N/A
02/04/2000,6.49,6.54,N/A
02/07/2000,6.57,6.62,N/A
02/08/2000,6.46,6.51,N/A
02/09/2000,6.55,6.6,N/A
02/10/2000,6.63,6.67,N/A
02/11/2000,6.58,6.62,N/A
02/14/2000,6.5,6.55,N/A
02/15/2000,6.54,6.59,N/A
02/16/2000,6.55,6.6,N/A
02/17/2000,6.5,6.55,N/A
02/18/2000,6.42,6.47,N/A
02/22/2000,6.34,6.39,N/A
02/23/2000,6.4,6.45,N/A
02/24/2000,6.38,6.43,N/A
02/25/2000,6.43,6.47,N/A
02/28/2000,6.42,6.47,N/A
02/29/2000,6.41,6.46,N/A
03/01/2000,6.43,6.48,N/A
03/02/2000,6.4,6.45,N/A
03/03/2000,6.37,6.41,N/A
03/06/2000,6.41,6.46,N/A
03/07/2000,6.41,6.46,N/A
03/08/2000,6.43,6.48,N/A
03/09/2000,6.42,6.47,N/A
03/10/2000,6.47,6.52,N/A
03/13/2000,6.45,6.5,N/A
03/14/2000,6.38,6.43,N/A
03/15/2000,6.35,6.39,N/A
03/16/2000,6.32,6.37,N/A
03/17/2000,6.28,6.33,N/A
03/20/2000,6.26,6.31,N/A
03/21/2000,6.24,6.28,N/A
03/22/2000,6.25,6.3,N/A
03/23/2000,6.2,6.25,N/A
03/24/2000,6.29,6.36,N/A
03/27/2000,6.29,6.35,N/A
03/28/2000,6.28,6.34,N/A
03/29/2000,6.3,6.35,N/A
03/30/2000,6.2,6.26,N/A
03/31/2000,6.14,6.2,N/A
04/03/2000,6.13,6.19,N/A
04/04/2000,6.06,6.12,N/A
04/05/2000,6.09,6.14,N/A
04/06/2000,6.07,6.12,N/A
04/07/2000,5.99,6.04,N/A
04/10/2000,5.98,6.04,N/A
04/11/2000,6.07,6.13,N/A
04/12/2000,6.14,6.19,N/A
04/13/2000,6.11,6.16,N/A
04/14/2000,6.08,6.12,N/A
04/17/2000,6.22,6.26,N/A
04/18/2000,6.21,6.26,N/A
04/19/2000,6.13,6.18,N/A
04/20/2000,6.12,6.16,N/A
04/24/2000,6.16,6.2,N/A
04/25/2000,6.23,6.27,N/A
04/26/2000,6.24,6.28,N/A
04/27/2000,6.29,6.34,N/A
04/28/2000,6.27,6.31,N/A
05/01/2000,6.28,6.33,N/A
05/02/2000,6.34,6.39,N/A
05/03/2000,6.43,6.49,N/A
05/04/2000,6.52,6.59,N/A
05/05/2000,6.55,6.61,N/A
05/08/2000,6.62,6.69,N/A
05/09/2000,6.58,6.64,N/A
05/10/2000,6.51,6.56,N/A
05/11/2000,6.49,6.54,N/A
05/12/2000,6.56,6.62,N/A
05/15/2000,6.51,6.56,N/A
05/16/2000,6.46,6.52,N/A
05/17/2000,6.52,6.58,N/A
05/18/2000,6.6,6.66,N/A
05/19/2000,6.57,6.64,N/A
05/22/2000,6.52,6.58,N/A
05/23/2000,6.51,6.58,N/A
05/24/2000,6.54,6.61,N/A
05/25/2000,6.45,6.5,N/A
05/26/2000,6.39,6.45,N/A
05/30/2000,6.44,6.5,N/A
05/31/2000,6.36,6.42,N/A
06/01/2000,6.28,6.33,N/A
06/02/2000,6.26,6.31,N/A
06/05/2000,6.23,6.28,N/A
06/06/2000,6.23,6.28,N/A
06/07/2000,6.21,6.26,N/A
06/08/2000,6.2,6.25,N/A
06/09/2000,6.21,6.26,N/A
06/12/2000,6.19,6.23,N/A
06/13/2000,6.25,6.3,N/A
06/14/2000,6.2,6.25,N/A
06/15/2000,6.22,6.26,N/A
06/16/2000,6.17,6.21,N/A
06/19/2000,6.19,6.24,N/A
06/20/2000,6.2,6.25,N/A
06/21/2000,6.27,6.32,N/A
06/22/2000,6.28,6.33,N/A
06/23/2000,6.34,6.38,N/A
06/26/2000,6.28,6.34,N/A
06/27/2000,6.25,6.31,N/A
06/28/2000,6.28,6.33,N/A
06/29/2000,6.19,6.24,N/A
06/30/2000,6.2,6.26,N/A
07/03/2000,6.18,6.22,N/A
