Date,LT Real Average (10> Yrs)
01/03/2000,4.3
01/04/2000,4.3
01/05/2000,4.3
01/06/2000,4.32
01/07/2000,4.32
01/10/2000,4.34
01/11/2000,4.35
01/12/2000,4.34
01/13/2000,4.33
01/14/2000,4.38
01/18/2000,4.4
01/19/2000,4.4
01/20/2000,4.39
01/21/2000,4.37
01/24/2000,4.36
01/25/2000,4.34
01/26/2000,4.32
01/27/2000,4.32
01/28/2000,4.29
01/31/2000,4.26
02/01/2000,4.27
02/02/2000,4.18
02/03/2000,4.14
02/04/2000,4.11
02/07/2000,4.16
02/08/2000,4.15
02/09/2000,4.14
02/10/2000,4.15
02/11/2000,4.17
02/14/2000,4.16
02/15/2000,4.17
02/16/2000,4.17
02/17/2000,4.18
02/18/2000,4.16
02/22/2000,4.15
02/23/2000,4.16
02/24/2000,4.14
02/25/2000,4.15
02/28/2000,4.15
02/29/2000,4.16
03/01/2000,4.16
03/02/2000,4.16
03/03/2000,4.14
03/06/2000,4.14
03/07/2000,4.14
03/08/2000,4.13
03/09/2000,4.13
03/10/2000,4.14
03/13/2000,4.13
03/14/2000,4.13
03/15/2000,4.12
03/16/2000,4.11
03/17/2000,4.11
03/20/2000,4.11
03/21/2000,4.08
03/22/2000,4.07
03/23/2000,4.04
03/24/2000,4.01
03/27/2000,4.01
03/28/2000,4.0
03/29/2000,3.98
03/30/2000,3.94
03/31/2000,3.92
04/03/2000,3.9
04/04/2000,3.88
04/05/2000,3.88
04/06/2000,3.9
04/07/2000,3.88
04/10/2000,3.9
04/11/2000,3.88
04/12/2000,3.88
04/13/2000,3.9
04/14/2000,3.89
04/17/2000,3.88
04/18/2000,3.88
04/19/2000,3.88
04/20/2000,3.88
04/24/2000,3.88
04/25/2000,3.88
04/26/2000,3.88
04/27/2000,3.87
04/28/2000,3.87
05/01/2000,3.85
05/02/2000,3.85
05/03/2000,3.86
05/04/2000,3.89
05/05/2000,3.93
05/08/2000,3.94
05/09/2000,3.94
05/10/2000,3.95
05/11/2000,3.97
05/12/2000,3.99
05/15/2000,3.99
05/16/2000,3.99
05/17/2000,4.0
05/18/2000,4.04
05/19/2000,4.04
05/22/2000,4.02
05/23/2000,4.02
05/24/2000,4.01
05/25/2000,3.98
05/26/2000,4.0
05/30/2000,4.0
05/31/2000,3.99
06/01/2000,3.95
06/02/2000,3.92
06/05/2000,3.92
06/06/2000,3.93
06/07/2000,3.92
06/08/2000,3.92
06/09/2000,3.93
06/12/2000,3.93
06/13/2000,3.92
06/14/2000,3.92
06/15/2000,3.92
06/16/2000,3.91
06/19/2000,3.91
06/20/2000,3.91
06/21/2000,3.92
06/22/2000,3.91
06/23/2000,3.91
06/26/2000,3.92
06/27/2000,3.92
06/28/2000,3.92
06/29/2000,3.91
06/30/2000,3.89
07/03/2000,3.88
07/05/2000,3.86
07/06/2000,3.87
07/07/2000,3.85
07/10/2000,3.85
07/11/2000,3.85
07/12/2000,3.87
07/13/2000,3.85
07/14/2000,3.86
07/17/2000,3.87
07/18/2000,3.86
07/19/2000,3.87
07/20/2000,3.85
07/21/2000,3.85
07/24/2000,3.85
07/25/2000,3.85
07/26/2000,3.85
07/27/2000,3.85
07/28/2000,3.85
07/31/2000,3.86
08/01/2000,3.85
08/02/2000,3.85
08/03/2000,3.85
08/04/2000,3.85
08/07/2000,3.85
08/08/2000,3.84
08/09/2000,3.87
08/10/2000,3.87
08/11/2000,3.87
08/14/2000,3.87
08/15/2000,3.88
08/16/2000,3.89
08/17/2000,3.89
08/18/2000,3.89
08/21/2000,3.89
08/22/2000,3.89
08/23/2000,3.9
08/24/2000,3.9
08/25/2000,3.89
08/28/2000,3.89
08/29/2000,3.89
08/30/2000,3.89
08/31/2000,3.9
09/01/2000,3.89
09/05/2000,3.9
09/06/2000,3.9
09/07/2000,3.91
09/08/2000,3.89
09/11/2000,3.9
09/12/2000,3.9
09/13/2000,3.89
09/14/2000,3.91
09/15/2000,3.95
09/18/2000,3.96
09/19/2000,3.96
09/20/2000,3.96
09/21/2000,3.96
09/22/2000,3.96
09/25/2000,3.96
09/26/2000,3.96
09/27/2000,3.92
09/28/2000,3.92
09/29/2000,3.92
10/02/2000,3.92
10/03/2000,3.93
10/04/2000,3.94
10/05/2000,3.93
10/06/2000,3.93
10/10/2000,3.93
10/11/2000,3.94
10/12/2000,3.91
10/13/2000,3.91
10/16/2000,3.92
10/17/2000,3.9
10/18/2000,3.88
10/19/2000,3.89
10/20/2000,3.88
10/23/2000,3.86
10/24/2000,3.85
10/25/2000,3.86
10/26/2000,3.85
10/27/2000,3.84
10/30/2000,3.84
10/31/2000,3.84
11/01/2000,3.85
11/02/2000,3.85
11/03/2000,3.86
11/06/2000,3.87
11/07/2000,3.87
11/08/2000,3.87
