Date,,,,4 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,8 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,13 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,17 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,26 WEEKS BANK DISCOUNT,COUPON EQUIVALENT,52 WEEKS BANK DISCOUNT,,,,,,,
01/02/2002,,,,1.71,1.74,N/A,N/A,1.71,1.74,N/A,N/A,1.81,1.85,N/A,,,,,,,
01/03/2002,,,,1.70,1.73,N/A,N/A,1.70,1.73,N/A,N/A,1.78,1.82,N/A,,,,,,,
01/04/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.78,1.82,N/A,,,,,,,
01/07/2002,,,,1.68,1.71,N/A,N/A,1.66,1.69,N/A,N/A,1.73,1.77,N/A,,,,,,,
01/08/2002,,,,1.67,1.69,N/A,N/A,1.65,1.68,N/A,N/A,1.74,1.78,N/A,,,,,,,
01/09/2002,,,,1.65,1.68,N/A,N/A,1.65,1.68,N/A,N/A,1.73,1.77,N/A,,,,,,,
01/10/2002,,,,1.64,1.66,N/A,N/A,1.65,1.68,N/A,N/A,1.71,1.75,N/A,,,,,,,
01/11/2002,,,,1.60,1.62,N/A,N/A,1.55,1.58,N/A,N/A,1.59,1.62,N/A,,,,,,,
01/14/2002,,,,1.60,1.62,N/A,N/A,1.55,1.58,N/A,N/A,1.58,1.61,N/A,,,,,,,
01/15/2002,,,,1.61,1.63,N/A,N/A,1.57,1.60,N/A,N/A,1.60,1.64,N/A,,,,,,,
01/16/2002,,,,1.60,1.62,N/A,N/A,1.58,1.61,N/A,N/A,1.62,1.66,N/A,,,,,,,
01/17/2002,,,,1.57,1.59,N/A,N/A,1.61,1.64,N/A,N/A,1.69,1.73,N/A,,,,,,,
01/18/2002,,,,1.57,1.59,N/A,N/A,1.59,1.62,N/A,N/A,1.67,1.71,N/A,,,,,,,
01/22/2002,,,,1.64,1.66,N/A,N/A,1.66,1.69,N/A,N/A,1.72,1.76,N/A,,,,,,,
01/23/2002,,,,1.65,1.67,N/A,N/A,1.68,1.71,N/A,N/A,1.74,1.78,N/A,,,,,,,
01/24/2002,,,,1.66,1.69,N/A,N/A,1.69,1.72,N/A,N/A,1.78,1.82,N/A,,,,,,,
01/25/2002,,,,1.66,1.68,N/A,N/A,1.69,1.72,N/A,N/A,1.79,1.83,N/A,,,,,,,
01/28/2002,,,,1.68,1.71,N/A,N/A,1.70,1.73,N/A,N/A,1.82,1.86,N/A,,,,,,,
01/29/2002,,,,1.66,1.68,N/A,N/A,1.69,1.72,N/A,N/A,1.80,1.84,N/A,,,,,,,
01/30/2002,,,,1.67,1.70,N/A,N/A,1.72,1.75,N/A,N/A,1.82,1.86,1.67,,,,,,,
01/31/2002,,,,1.66,1.69,N/A,N/A,1.73,1.76,N/A,N/A,1.85,1.89,1.66,,,,,,,
02/01/2002,,,,1.66,1.68,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,1.66,,,,,,,
02/04/2002,,,,1.67,1.70,N/A,N/A,1.74,1.77,N/A,N/A,1.81,1.85,1.67,,,,,,,
02/05/2002,,,,1.67,1.69,N/A,N/A,1.73,1.76,N/A,N/A,1.82,1.86,1.67,,,,,,,
02/06/2002,,,,1.70,1.73,N/A,N/A,1.71,1.74,N/A,N/A,1.80,1.84,N/A,,,,,,,
02/07/2002,,,,1.68,1.71,N/A,N/A,1.70,1.73,N/A,N/A,1.79,1.83,N/A,,,,,,,
02/08/2002,,,,1.66,1.68,N/A,N/A,1.70,1.73,N/A,N/A,1.78,1.82,N/A,,,,,,,
02/11/2002,,,,1.70,1.73,N/A,N/A,1.70,1.73,N/A,N/A,1.80,1.84,N/A,,,,,,,
02/12/2002,,,,1.71,1.74,N/A,N/A,1.72,1.75,N/A,N/A,1.83,1.87,N/A,,,,,,,
02/13/2002,,,,1.72,1.75,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,N/A,,,,,,,
02/14/2002,,,,1.72,1.75,N/A,N/A,1.72,1.75,N/A,N/A,1.82,1.86,N/A,,,,,,,
02/15/2002,,,,1.69,1.72,N/A,N/A,1.71,1.74,N/A,N/A,1.80,1.84,N/A,,,,,,,
02/19/2002,,,,1.70,1.73,N/A,N/A,1.71,1.74,N/A,N/A,1.80,1.84,N/A,,,,,,,
02/20/2002,,,,1.70,1.73,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,N/A,,,,,,,
02/21/2002,,,,1.73,1.76,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,N/A,,,,,,,
02/22/2002,,,,1.72,1.75,N/A,N/A,1.73,1.76,N/A,N/A,1.82,1.86,N/A,,,,,,,
02/25/2002,,,,1.73,1.76,N/A,N/A,1.74,1.77,N/A,N/A,1.84,1.88,N/A,,,,,,,
02/26/2002,,,,1.74,1.77,N/A,N/A,1.74,1.77,N/A,N/A,1.87,1.91,N/A,,,,,,,
02/27/2002,,,,1.74,1.77,N/A,N/A,1.74,1.77,N/A,N/A,1.84,1.88,N/A,,,,,,,
02/28/2002,,,,1.73,1.76,N/A,N/A,1.76,1.79,N/A,N/A,1.83,1.87,N/A,,,,,,,
03/01/2002,,,,1.75,1.78,N/A,N/A,1.74,1.77,N/A,N/A,1.86,1.90,N/A,,,,,,,
03/04/2002,,,,1.74,1.77,N/A,N/A,1.76,1.79,N/A,N/A,1.87,1.91,N/A,,,,,,,
03/05/2002,,,,1.74,1.77,N/A,N/A,1.77,1.80,N/A,N/A,1.89,1.93,N/A,,,,,,,
03/06/2002,,,,1.74,1.77,N/A,N/A,1.75,1.78,N/A,N/A,1.87,1.91,N/A,,,,,,,
03/07/2002,,,,1.74,1.77,N/A,N/A,1.75,1.78,N/A,N/A,1.91,1.96,N/A,,,,,,,
03/08/2002,,,,1.74,1.77,N/A,N/A,1.77,1.80,N/A,N/A,1.99,2.04,N/A,,,,,,,
03/11/2002,,,,1.77,1.80,N/A,N/A,1.80,1.83,N/A,N/A,1.99,2.04,N/A,,,,,,,
03/12/2002,,,,1.76,1.79,N/A,N/A,1.81,1.84,N/A,N/A,2.01,2.06,N/A,,,,,,,
03/13/2002,,,,1.77,1.80,N/A,N/A,1.79,1.82,N/A,N/A,1.97,2.02,N/A,,,,,,,
03/14/2002,,,,1.76,1.79,N/A,N/A,1.82,1.85,N/A,N/A,2.01,2.06,N/A,,,,,,,
03/15/2002,,,,1.76,1.79,N/A,N/A,1.82,1.85,N/A,N/A,2.03,2.08,N/A,,,,,,,
03/18/2002,,,,1.74,1.77,N/A,N/A,1.83,1.86,N/A,N/A,2.05,2.10,N/A,,,,,,,
03/19/2002,,,,1.75,1.78,N/A,N/A,1.82,1.85,N/A,N/A,2.05,2.10,N/A,,,,,,,
03/20/2002,,,,1.76,1.79,N/A,N/A,1.81,1.84,N/A,N/A,2.07,2.12,N/A,,,,,,,
03/21/2002,,,,1.75,1.78,N/A,N/A,1.80,1.83,N/A,N/A,2.06,2.11,N/A,,,,,,,
03/22/2002,,,,1.75,1.78,N/A,N/A,1.80,1.83,N/A,N/A,2.07,2.12,N/A,,,,,,,
03/25/2002,,,,1.75,1.78,N/A,N/A,1.79,1.82,N/A,N/A,2.08,2.13,N/A,,,,,,,
03/26/2002,,,,1.76,1.79,N/A,N/A,1.78,1.81,N/A,N/A,2.07,2.12,N/A,,,,,,,
03/27/2002,,,,1.74,1.77,N/A,N/A,1.78,1.81,N/A,N/A,2.05,2.10,N/A,,,,,,,
03/28/2002,,,,1.73,1.76,N/A,N/A,1.76,1.79,N/A,N/A,2.06,2.11,N/A,,,,,,,
04/01/2002,,,,1.76,1.79,N/A,N/A,1.75,1.78,N/A,N/A,2.07,2.12,N/A,,,,,,,
04/02/2002,,,,1.75,1.78,N/A,N/A,1.77,1.80,N/A,N/A,2.07,2.12,N/A,,,,,,,
04/03/2002,,,,1.74,1.77,N/A,N/A,1.76,1.79,N/A,N/A,2.03,2.08,N/A,,,,,,,
04/04/2002,,,,1.74,1.77,N/A,N/A,1.75,1.78,N/A,N/A,2.02,2.07,N/A,,,,,,,
04/05/2002,,,,1.73,1.76,N/A,N/A,1.73,1.76,N/A,N/A,1.98,2.03,N/A,,,,,,,
04/08/2002,,,,1.73,1.76,N/A,N/A,1.72,1.75,N/A,N/A,1.96,2.01,N/A,,,,,,,
04/09/2002,,,,1.70,1.73,N/A,N/A,1.70,1.73,N/A,N/A,1.98,2.03,N/A,,,,,,,
04/10/2002,,,,1.69,1.72,N/A,N/A,1.68,1.71,N/A,N/A,1.93,1.98,N/A,,,,,,,
04/11/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.92,1.97,N/A,,,,,,,
04/12/2002,,,,1.69,1.72,N/A,N/A,1.68,1.71,N/A,N/A,1.91,1.95,N/A,,,,,,,
04/15/2002,,,,1.68,1.71,N/A,N/A,1.68,1.71,N/A,N/A,1.89,1.93,N/A,,,,,,,
04/16/2002,,,,1.68,1.71,N/A,N/A,1.71,1.74,N/A,N/A,1.93,1.98,N/A,,,,,,,
04/17/2002,,,,1.68,1.71,N/A,N/A,1.70,1.73,N/A,N/A,1.88,1.92,N/A,,,,,,,
04/18/2002,,,,1.67,1.70,N/A,N/A,1.69,1.72,N/A,N/A,1.86,1.90,N/A,,,,,,,
04/19/2002,,,,1.66,1.68,N/A,N/A,1.70,1.73,N/A,N/A,1.86,1.90,N/A,,,,,,,
04/22/2002,,,,1.64,1.66,N/A,N/A,1.69,1.72,N/A,N/A,1.84,1.88,N/A,,,,,,,
04/23/2002,,,,1.64,1.66,N/A,N/A,1.70,1.73,N/A,N/A,1.88,1.92,N/A,,,,,,,
04/24/2002,,,,1.64,1.66,N/A,N/A,1.69,1.72,N/A,N/A,1.85,1.89,N/A,,,,,,,
04/25/2002,,,,1.65,1.67,N/A,N/A,1.71,1.74,N/A,N/A,1.85,1.89,N/A,,,,,,,
04/26/2002,,,,1.65,1.67,N/A,N/A,1.72,1.75,N/A,N/A,1.85,1.89,N/A,,,,,,,
04/29/2002,,,,1.70,1.73,N/A,N/A,1.74,1.77,N/A,N/A,1.87,1.91,N/A,,,,,,,
04/30/2002,,,,1.72,1.75,N/A,N/A,1.74,1.77,N/A,N/A,1.87,1.91,N/A,,,,,,,
05/01/2002,,,,1.73,1.76,N/A,N/A,1.74,1.77,N/A,N/A,1.86,1.90,N/A,,,,,,,
05/02/2002,,,,1.71,1.74,N/A,N/A,1.74,1.77,N/A,N/A,1.87,1.91,N/A,,,,,,,
05/03/2002,,,,1.70,1.73,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,N/A,,,,,,,
05/06/2002,,,,1.71,1.74,N/A,N/A,1.73,1.76,N/A,N/A,1.83,1.87,N/A,,,,,,,
05/07/2002,,,,1.70,1.73,N/A,N/A,1.73,1.76,N/A,N/A,1.82,1.86,N/A,,,,,,,
05/08/2002,,,,1.73,1.76,N/A,N/A,1.73,1.76,N/A,N/A,1.86,1.90,N/A,,,,,,,
05/09/2002,,,,1.71,1.74,N/A,N/A,1.74,1.77,N/A,N/A,1.85,1.89,N/A,,,,,,,
05/10/2002,,,,1.70,1.73,N/A,N/A,1.74,1.77,N/A,N/A,1.83,1.87,N/A,,,,,,,
05/13/2002,,,,1.74,1.77,N/A,N/A,1.74,1.77,N/A,N/A,1.86,1.90,N/A,,,,,,,
05/14/2002,,,,1.74,1.77,N/A,N/A,1.75,1.78,N/A,N/A,1.90,1.95,N/A,,,,,,,
05/15/2002,,,,1.73,1.76,N/A,N/A,1.73,1.76,N/A,N/A,1.88,1.92,N/A,,,,,,,
05/16/2002,,,,1.71,1.74,N/A,N/A,1.72,1.75,N/A,N/A,1.85,1.89,N/A,,,,,,,
05/17/2002,,,,1.70,1.73,N/A,N/A,1.73,1.76,N/A,N/A,1.90,1.94,N/A,,,,,,,
05/20/2002,,,,1.70,1.73,N/A,N/A,1.72,1.75,N/A,N/A,1.88,1.92,N/A,,,,,,,
05/21/2002,,,,1.70,1.73,N/A,N/A,1.72,1.75,N/A,N/A,1.88,1.92,N/A,,,,,,,
05/22/2002,,,,1.69,1.72,N/A,N/A,1.71,1.74,N/A,N/A,1.85,1.89,N/A,,,,,,,
05/23/2002,,,,1.70,1.73,N/A,N/A,1.71,1.74,N/A,N/A,1.86,1.90,N/A,,,,,,,
05/24/2002,,,,1.68,1.71,N/A,N/A,1.71,1.74,N/A,N/A,1.86,1.90,N/A,,,,,,,
05/28/2002,,,,1.71,1.74,N/A,N/A,1.73,1.76,N/A,N/A,1.88,1.92,N/A,,,,,,,
05/29/2002,,,,1.70,1.73,N/A,N/A,1.72,1.75,N/A,N/A,1.87,1.91,N/A,,,,,,,
05/30/2002,,,,1.70,1.73,N/A,N/A,1.72,1.75,N/A,N/A,1.85,1.89,N/A,,,,,,,
05/31/2002,,,,1.69,1.72,N/A,N/A,1.71,1.74,N/A,N/A,1.86,1.90,N/A,,,,,,,
06/03/2002,,,,1.69,1.72,N/A,N/A,1.72,1.75,N/A,N/A,1.86,1.90,N/A,,,,,,,
06/04/2002,,,,1.70,1.73,N/A,N/A,1.73,1.76,N/A,N/A,1.86,1.90,N/A,,,,,,,
06/05/2002,,,,1.72,1.75,N/A,N/A,1.72,1.75,N/A,N/A,1.86,1.90,N/A,,,,,,,
06/06/2002,,,,1.71,1.74,N/A,N/A,1.71,1.74,N/A,N/A,1.84,1.88,N/A,,,,,,,
06/07/2002,,,,1.71,1.74,N/A,N/A,1.71,1.74,N/A,N/A,1.84,1.88,N/A,,,,,,,
06/10/2002,,,,1.72,1.75,N/A,N/A,1.72,1.75,N/A,N/A,1.83,1.87,N/A,,,,,,,
06/11/2002,,,,1.72,1.75,N/A,N/A,1.72,1.75,N/A,N/A,1.83,1.87,N/A,,,,,,,
06/12/2002,,,,1.71,1.74,N/A,N/A,1.71,1.74,N/A,N/A,1.81,1.85,N/A,,,,,,,
06/13/2002,,,,1.68,1.71,N/A,N/A,1.69,1.72,N/A,N/A,1.78,1.82,N/A,,,,,,,
06/14/2002,,,,1.68,1.71,N/A,N/A,1.68,1.71,N/A,N/A,1.76,1.80,N/A,,,,,,,
06/17/2002,,,,1.67,1.70,N/A,N/A,1.70,1.73,N/A,N/A,1.78,1.82,N/A,,,,,,,
06/18/2002,,,,1.67,1.69,N/A,N/A,1.70,1.73,N/A,N/A,1.78,1.82,N/A,,,,,,,
06/19/2002,,,,1.66,1.69,N/A,N/A,1.68,1.71,N/A,N/A,1.73,1.77,N/A,,,,,,,
06/20/2002,,,,1.65,1.67,N/A,N/A,1.70,1.73,N/A,N/A,1.77,1.81,N/A,,,,,,,
06/21/2002,,,,1.65,1.67,N/A,N/A,1.69,1.72,N/A,N/A,1.75,1.79,N/A,,,,,,,
06/24/2002,,,,1.63,1.65,N/A,N/A,1.70,1.73,N/A,N/A,1.76,1.80,N/A,,,,,,,
06/25/2002,,,,1.67,1.69,N/A,N/A,1.70,1.73,N/A,N/A,1.77,1.81,N/A,,,,,,,
06/26/2002,,,,1.69,1.72,N/A,N/A,1.67,1.70,N/A,N/A,1.70,1.74,N/A,,,,,,,
06/27/2002,,,,1.67,1.70,N/A,N/A,1.67,1.70,N/A,N/A,1.72,1.76,N/A,,,,,,,
06/28/2002,,,,1.66,1.68,N/A,N/A,1.67,1.70,N/A,N/A,1.71,1.75,N/A,,,,,,,
07/01/2002,,,,1.68,1.71,N/A,N/A,1.68,1.71,N/A,N/A,1.73,1.77,N/A,,,,,,,
07/02/2002,,,,1.67,1.69,N/A,N/A,1.69,1.72,N/A,N/A,1.72,1.76,N/A,,,,,,,
07/03/2002,,,,1.68,1.71,N/A,N/A,1.69,1.72,N/A,N/A,1.70,1.74,N/A,,,,,,,
07/05/2002,,,,1.68,1.71,N/A,N/A,1.69,1.72,N/A,N/A,1.73,1.77,N/A,,,,,,,
07/08/2002,,,,1.70,1.73,N/A,N/A,1.70,1.73,N/A,N/A,1.72,1.76,N/A,,,,,,,
07/09/2002,,,,1.70,1.73,N/A,N/A,1.69,1.72,N/A,N/A,1.71,1.75,N/A,,,,,,,
07/10/2002,,,,1.70,1.73,N/A,N/A,1.69,1.72,N/A,N/A,1.70,1.74,N/A,,,,,,,
07/11/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.70,1.74,N/A,,,,,,,
07/12/2002,,,,1.68,1.71,N/A,N/A,1.68,1.71,N/A,N/A,1.70,1.74,N/A,,,,,,,
07/15/2002,,,,1.68,1.71,N/A,N/A,1.68,1.71,N/A,N/A,1.68,1.72,N/A,,,,,,,
07/16/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.71,1.75,N/A,,,,,,,
07/17/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.71,1.75,N/A,,,,,,,
07/18/2002,,,,1.69,1.72,N/A,N/A,1.69,1.72,N/A,N/A,1.70,1.74,N/A,,,,,,,
07/19/2002,,,,1.69,1.72,N/A,N/A,1.68,1.71,N/A,N/A,1.69,1.73,N/A,,,,,,,
07/22/2002,,,,1.69,1.72,N/A,N/A,1.68,1.71,N/A,N/A,1.68,1.72,N/A,,,,,,,
07/23/2002,,,,1.69,1.72,N/A,N/A,1.67,1.70,N/A,N/A,1.67,1.71,N/A,,,,,,,
